set,s11a,s22a,s33a,s11m,s22m,s33m,t12a,t13a,t23a,t12m,t13m,t23m,fi11,fi22,fi33,fi12,fi13,fi23,Rm,Re,f-1,f0,b-1,b0,rb-1,t-1,t0
Native,0,0,0,241.88,18.22,0,146.4730065,0,0,0,0,0,0,0,0,0,0,0,560,400,244.5069366,385.321545,0,0,0,168.9926578,330.540985
Native,0,0,0,175.93,13.25,0,157.283065,0,0,0,0,0,0,0,0,0,0,0,560,400,244.5069366,385.321545,0,0,0,168.9926578,330.540985
Native,0,0,0,227.49,-19.47,-39.98,171.8252229,0,0,0,0,0,0,0,0,0,0,0,560,400,244.5069366,385.321545,0,0,0,168.9926578,330.540985
Native,0,0,0,109.7,-28.46,-40,176.3633216,0,0,0,0,0,0,0,0,0,0,0,560,400,244.5069366,385.321545,0,0,0,168.9926578,330.540985
Native,247.2597676,18.54448257,0,0,0,0,44.50675817,0,0,0,0,0,0,0,0,0,0,0,560,400,244.5069366,385.321545,0,0,0,168.9926578,330.540985
Native,0,0,0,29.95,128.32,-0.5,152.9409849,0,0,0,0,0,0,0,0,0,0,0,560,400,244.5069366,385.321545,0,0,0,168.9926578,330.540985
Native,0,0,0,62.21,266.52,-1.04,124.2796236,0,0,0,0,0,0,0,0,0,0,0,560,400,244.5069366,385.321545,0,0,0,168.9926578,330.540985
Native,265.3877762,24.42038296,0,19,222.41,-21.79,0,0,0,0,0,0,0,0,0,0,0,0,560,400,292.7038693,343.3409216,315.9,498,0,168.9926578,330.540985
Native,253.9736948,23.42201852,0,28.81,338.63,-33.67,0,0,0,0,0,0,0,0,0,0,0,0,560,400,292.7038693,343.3409216,315.9,498,0,168.9926578,330.540985
Native,252.7405527,22.9988957,0,0,0,0,39.81529255,0,0,0,0,0,0,0,0,0,0,0,560,400,244.5069366,385.321545,0,0,0,168.9926578,330.540985
Native,231.3569576,0,0,82.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.5,470,298.9305948,430.7379869,262.3089228,377.8,0,172.5876594,288.6
Native,179.9648583,0,0,206.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.5,470,298.9305948,430.7379869,262.3089228,377.8,0,172.5876594,288.6
Native,157.0116686,0,0,310.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.5,470,298.9305948,430.7379869,262.3089228,377.8,0,172.5876594,288.6
Native,139.2745009,0,0,448.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.5,470,298.9305948,430.7379869,262.3089228,377.8,0,172.5876594,288.6
Native,255.7548159,0,0,0,0,0,52.9412469,0,0,0,0,0,0,0,0,0,0,0,507.5,470,298.9305948,430.7379869,262.3089228,377.8,0,172.5876594,288.6
Native,207.5864849,0,0,0,0,0,103.7932425,0,0,0,0,0,0,0,0,0,0,0,507.5,470,298.9305948,430.7379869,262.3089228,377.8,0,172.5876594,288.6
Native,170.2138049,0,0,82.74,0,0,85.10690247,0,0,41.37,0,0,0,0,0,0,0,0,507.5,470,298.9305948,430.7379869,262.3089228,377.8,0,172.5876594,288.6
Native,134.3371109,0,0,206.843,0,0,67.16855545,0,0,103.421,0,0,0,0,0,0,0,0,507.5,470,298.9305948,430.7379869,262.3089228,377.8,0,172.5876594,288.6
Native,109.6402304,0,0,310.264,0,0,54.8201152,0,0,155.132,0,0,0,0,0,0,0,0,507.5,470,298.9305948,430.7379869,262.3089228,377.8,0,172.5876594,288.6
Native,175.3751209,0,0,0,0,0,128.3745885,0,0,0,0,0,0,0,0,0,0,0,507.5,470,298.9305948,430.7379869,262.3089228,377.8,0,172.5876594,288.6
Native,125.8255772,0,0,0,0,0,151.8714717,0,0,0,0,0,0,0,0,0,0,0,507.5,470,298.9305948,430.7379869,262.3089228,377.8,0,172.5876594,288.6
Native,0,0,0,0,0,0,148.7658291,0,0,103.421,0,0,0,0,0,0,0,0,507.5,470,298.9305948,430.7379869,262.3089228,377.8,0,172.5876594,288.6
Native,0,0,0,0,0,0,141.3574849,0,0,206.843,0,0,0,0,0,0,0,0,507.5,470,298.9305948,430.7379869,262.3089228,377.8,0,172.5876594,288.6
Native,0,0,0,0,0,0,126.355947,0,0,310.264,0,0,0,0,0,0,0,0,507.5,470,298.9305948,430.7379869,262.3089228,377.8,0,172.5876594,288.6
Native,485,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,1220,813.3333333,718.8010851,923.9357858,695,1142,0,415,649.4637956
Native,480,0,0,0,0,0,277,0,0,0,0,0,0,0,0,90,0,0,1220,813.3333333,718.8010851,923.9357858,695,1142,0,415,649.4637956
Native,480,0,0,300,0,0,277,0,0,0,0,0,0,0,0,0,0,0,1220,813.3333333,718.8010851,923.9357858,695,1142,0,415,649.4637956
Native,480,0,0,300,0,0,277,0,0,0,0,0,0,0,0,45,0,0,1220,813.3333333,718.8010851,923.9357858,695,1142,0,415,649.4637956
Native,470,0,0,300,0,0,271,0,0,0,0,0,0,0,0,60,0,0,1220,813.3333333,718.8010851,923.9357858,695,1142,0,415,649.4637956
Native,473,0,0,300,0,0,273,0,0,0,0,0,0,0,0,90,0,0,1220,813.3333333,718.8010851,923.9357858,695,1142,0,415,649.4637956
Native,590,0,0,300,0,0,148,0,0,0,0,0,0,0,0,0,0,0,1220,813.3333333,718.8010851,923.9357858,695,1142,0,415,649.4637956
Native,565,0,0,300,0,0,141,0,0,0,0,0,0,0,0,45,0,0,1220,813.3333333,718.8010851,923.9357858,695,1142,0,415,649.4637956
Native,540,0,0,300,0,0,135,0,0,0,0,0,0,0,0,90,0,0,1220,813.3333333,718.8010851,923.9357858,695,1142,0,415,649.4637956
